"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Doyle, Brenton",686668,"15","1","19","5.3","9","13","69.2","21","23","91.3","23","25","92.0","28","29","96.6"
"Robert Jr., Luis",673357,"13","2","23","8.7","8","13","61.5","17","21","81.0","21","22","95.5","34","34","100.0"
"Kiermaier, Kevin",595281,"13","1","11","9.1","7","9","77.8","13","13","100.0","18","19","94.7","25","25","100.0"
"Rodríguez, Julio",677594,"12","1","18","5.6","6","11","54.5","22","26","84.6","24","25","96.0","27","27","100.0"
"Varsho, Daulton",662139,"11","0","10","0.0","4","6","66.7","16","19","84.2","26","26","100.0","30","30","100.0"
"Isbel, Kyle",664728,"11","3","14","21.4","7","11","63.6","13","13","100.0","11","12","91.7","15","15","100.0"
"Siri, Jose",642350,"9","3","18","16.7","3","4","75.0","9","11","81.8","18","20","90.0","20","20","100.0"
"Rojas, Johan",679032,"9","1","3","33.3","5","7","71.4","11","11","100.0","13","13","100.0","14","15","93.3"
"Taylor, Michael A.",572191,"9","1","13","7.7","9","15","60.0","9","13","69.2","22","24","91.7","23","23","100.0"
"Tatis Jr., Fernando",665487,"9","0","14","0.0","10","13","76.9","12","14","85.7","27","28","96.4","19","22","86.4"
"Kwan, Steven",680757,"9","1","18","5.6","6","12","50.0","19","24","79.2","27","28","96.4","44","46","95.7"
"Outman, James",681546,"9","2","24","8.3","6","10","60.0","11","16","68.8","35","36","97.2","26","28","92.9"
"Bader, Harrison",664056,"9","0","5","0.0","1","4","25.0","19","24","79.2","14","14","100.0","19","19","100.0"
"Meyers, Jake",676694,"9","1","6","16.7","5","6","83.3","9","10","90.0","15","17","88.2","19","19","100.0"
"Wiemer, Joey",686894,"8","3","15","20.0","7","9","77.8","13","19","68.4","22","23","95.7","19","20","95.0"
"Call, Alex",669743,"8","2","23","8.7","4","9","44.4","17","25","68.0","19","20","95.0","20","20","100.0"
"Taveras, Leody",665750,"7","1","21","4.8","3","12","25.0","21","25","84.0","23","25","92.0","23","23","100.0"
"Edman, Tommy",669242,"7","2","7","28.6","3","5","60.0","11","14","78.6","9","10","90.0","10","10","100.0"
"Harris II, Michael",671739,"7","0","32","0.0","6","10","60.0","16","17","94.1","18","19","94.7","25","26","96.2"
"Marsh, Brandon",669016,"7","2","31","6.5","3","8","37.5","20","23","87.0","13","14","92.9","25","25","100.0"
"Perkins, Blake",663368,"7","2","10","20.0","2","4","50.0","8","9","88.9","10","10","100.0","9","9","100.0"
"Frelick, Sal",686217,"7","2","9","22.2","1","4","25.0","8","8","100.0","7","7","100.0","12","12","100.0"
"Grisham, Trent",663757,"7","1","15","6.7","4","8","50.0","24","33","72.7","18","19","94.7","24","24","100.0"
"Heyward, Jason",518792,"6","0","8","0.0","4","12","33.3","15","15","100.0","16","18","88.9","12","13","92.3"
"Thomas, Alek",677950,"6","0","19","0.0","4","9","44.4","11","14","78.6","30","34","88.2","27","28","96.4"
"Mullins, Cedric",656775,"6","0","13","0.0","4","6","66.7","12","15","80.0","23","25","92.0","25","27","92.6"
"Dubón, Mauricio",643289,"5","0","4","0.0","4","5","80.0","2","2","100.0","8","8","100.0","6","6","100.0"
"Waters, Drew",671221,"5","1","17","5.9","4","8","50.0","9","9","100.0","11","12","91.7","20","20","100.0"
"Friedl, TJ",670770,"5","0","20","0.0","3","6","50.0","15","16","93.8","12","13","92.3","26","28","92.9"
"Straw, Myles",664702,"5","0","20","0.0","4","6","66.7","12","16","75.0","19","21","90.5","36","37","97.3"
"Jankowski, Travis",608671,"5","0","12","0.0","3","4","75.0","13","16","81.3","7","9","77.8","13","13","100.0"
"Kepler, Max",596146,"4","0","12","0.0","3","10","30.0","8","12","66.7","23","23","100.0","25","26","96.2"
"Bradley Jr., Jackie",598265,"4","1","5","20.0","1","1","100.0","6","6","100.0","5","6","83.3","4","4","100.0"
"Carroll, Corbin",682998,"4","4","29","13.8","3","9","33.3","9","15","60.0","15","16","93.8","22","22","100.0"
"Trout, Mike",545361,"4","1","21","4.8","0","3","0.0","5","7","71.4","17","17","100.0","15","15","100.0"
"McCormick, Chas",676801,"4","2","16","12.5","0","6","0.0","13","16","81.3","17","19","89.5","20","20","100.0"
"Meadows, Parker",678009,"4","0","0",,"1","2","50.0","6","6","100.0","9","9","100.0","6","7","85.7"
"Chisholm Jr., Jazz",665862,"4","2","14","14.3","5","10","50.0","12","16","75.0","8","9","88.9","12","12","100.0"
"Marisnick, Jake",545350,"4","0","2","0.0","0","0",,"5","5","100.0","10","10","100.0","4","4","100.0"
"Moniak, Mickey",666160,"4","1","14","7.1","0","1","0.0","7","8","87.5","14","15","93.3","18","18","100.0"
"Suwinski, Jack",669261,"3","0","20","0.0","3","10","30.0","11","15","73.3","24","26","92.3","29","30","96.7"
"Carter, Evan",694497,"3","1","7","14.3","3","4","75.0","4","4","100.0","6","7","85.7","5","6","83.3"
"Brennan, Will",686823,"3","0","10","0.0","3","11","27.3","10","12","83.3","16","20","80.0","25","25","100.0"
"García, Adolis",666969,"3","0","23","0.0","4","15","26.7","16","23","69.6","25","28","89.3","23","23","100.0"
"Yelich, Christian",592885,"3","0","17","0.0","1","7","14.3","10","11","90.9","16","16","100.0","19","20","95.0"
"Nootbaar, Lars",663457,"3","0","19","0.0","3","12","25.0","10","14","71.4","17","18","94.4","26","28","92.9"
"Pache, Cristian",665506,"3","0","5","0.0","2","3","66.7","3","3","100.0","7","7","100.0","5","5","100.0"
"Ward, Taylor",621493,"3","0","19","0.0","2","7","28.6","7","8","87.5","12","12","100.0","15","15","100.0"
"Pillar, Kevin",607680,"3","1","8","12.5","3","7","42.9","8","10","80.0","5","5","100.0","9","9","100.0"
"Fairchild, Stuart",656413,"3","1","9","11.1","1","4","25.0","7","9","77.8","11","13","84.6","13","13","100.0"
"Margot, Manuel",622534,"3","0","7","0.0","5","9","55.6","6","13","46.2","11","11","100.0","15","15","100.0"
"Young, Jacob",696285,"3","2","5","40.0","2","3","66.7","3","3","100.0","4","4","100.0","4","4","100.0"
"Bae, Ji Hwan",678225,"3","0","2","0.0","3","4","75.0","6","7","85.7","4","4","100.0","8","10","80.0"
"Hill, Derek",656537,"2","0","1","0.0","1","1","100.0","2","3","66.7","3","3","100.0","4","4","100.0"
"Rosario, Eddie",592696,"2","1","24","4.2","4","12","33.3","12","19","63.2","16","17","94.1","23","24","95.8"
"Fletcher, Dominic",666150,"2","1","7","14.3","2","2","100.0","2","2","100.0","2","3","66.7","4","4","100.0"
"McNeil, Jeff",643446,"2","0","9","0.0","3","6","50.0","6","7","85.7","5","6","83.3","15","16","93.8"
"Ruiz, Esteury",665923,"2","3","19","15.8","3","9","33.3","13","19","68.4","9","10","90.0","12","13","92.3"
"Fraley, Jake",641584,"2","0","13","0.0","4","9","44.4","5","6","83.3","10","11","90.9","18","19","94.7"
"Rafaela, Ceddanne",678882,"2","1","3","33.3","1","1","100.0","2","2","100.0","1","1","100.0","0","0",
"Bellinger, Cody",641355,"2","0","7","0.0","2","3","66.7","9","10","90.0","9","12","75.0","17","18","94.4"
"Taylor, Tyrone",621438,"2","0","8","0.0","3","6","50.0","2","4","50.0","13","13","100.0","6","7","85.7"
"Suzuki, Seiya",673548,"2","0","17","0.0","2","5","40.0","13","18","72.2","17","19","89.5","10","10","100.0"
"Marlowe, Cade",687799,"2","0","1","0.0","3","4","75.0","2","3","66.7","3","4","75.0","8","8","100.0"
"Myers, Dane",667472,"1","0","2","0.0","0","0",,"4","5","80.0","0","0",,"5","5","100.0"
"Biggio, Cavan",624415,"1","1","5","20.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"Locastro, Tim",641796,"1","0","2","0.0","0","2","0.0","2","2","100.0","3","3","100.0","2","2","100.0"
"Thomas, Cody",642137,"1","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0","2","2","100.0"
"Thompson, Trayce",572204,"1","0","3","0.0","2","5","40.0","2","3","66.7","4","4","100.0","6","6","100.0"
"Mitchell, Garrett",669003,"1","0","2","0.0","0","0",,"2","2","100.0","3","4","75.0","4","4","100.0"
"Crow-Armstrong, Pete",691718,"1","1","2","50.0","1","1","100.0","1","1","100.0","2","2","100.0","1","1","100.0"
"Bouchard, Sean",656248,"1","0","0",,"1","2","50.0","3","3","100.0","1","2","50.0","2","2","100.0"
"Slater, Austin",596103,"1","0","7","0.0","4","6","66.7","4","5","80.0","8","8","100.0","6","6","100.0"
"Eaton, Nate",681987,"1","1","2","50.0","0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Moore, Dylan",664238,"1","1","2","50.0","1","6","16.7","2","3","66.7","6","6","100.0","3","3","100.0"
"Nimmo, Brandon",607043,"1","0","18","0.0","3","15","20.0","8","14","57.1","27","28","96.4","32","33","97.0"
"Stevenson, Andrew",664057,"1","0","2","0.0","0","1","0.0","1","1","100.0","4","4","100.0","4","4","100.0"
"Ortega, Rafael",542364,"1","0","4","0.0","1","3","33.3","5","6","83.3","5","6","83.3","6","7","85.7"
"Carlson, Dylan",666185,"1","0","10","0.0","3","5","60.0","7","10","70.0","13","16","81.3","8","8","100.0"
"Verdugo, Alex",657077,"1","1","19","5.3","3","10","30.0","9","11","81.8","13","16","81.3","21","24","87.5"
"Blanco, Dairon",680118,"1","0","8","0.0","0","3","0.0","4","5","80.0","5","5","100.0","6","6","100.0"
"Johnson, Bryce",669369,"1","1","5","20.0","0","0",,"2","3","66.7","4","4","100.0","0","0",
"Guthrie, Dalton",656495,"1","0","2","0.0","1","1","100.0","0","0",,"1","1","100.0","4","4","100.0"
"Joe, Connor",656582,"1","0","8","0.0","0","2","0.0","8","10","80.0","9","9","100.0","9","11","81.8"
"Odor, Rougned",596059,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Davis, Jonathan",641505,"1","0","3","0.0","0","0",,"1","2","50.0","5","5","100.0","5","5","100.0"
"Florial, Estevan",664314,"1","0","2","0.0","0","0",,"1","1","100.0","1","1","100.0","2","2","100.0"
"Greene, Riley",682985,"1","0","10","0.0","2","5","40.0","1","4","25.0","16","17","94.1","9","9","100.0"
"Dixon, Brandon",641525,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","6","6","100.0"
"McKenna, Ryan",663630,"1","1","9","11.1","1","2","50.0","4","6","66.7","5","5","100.0","3","4","75.0"
"Yastrzemski, Mike",573262,"1","0","11","0.0","1","8","12.5","10","10","100.0","15","17","88.2","16","17","94.1"
"McCutchen, Andrew",457705,"1","0","2","0.0","0","0",,"1","1","100.0","2","2","100.0","1","1","100.0"
"Sánchez, Jesús",660821,"1","0","13","0.0","3","9","33.3","11","15","73.3","10","12","83.3","12","12","100.0"
"DeLuca, Jonny",676356,"1","0","4","0.0","1","3","33.3","2","2","100.0","0","0",,"4","4","100.0"
"Adell, Jo",666176,"1","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0","7","7","100.0"
"Gurriel Jr., Lourdes",666971,"1","0","14","0.0","1","7","14.3","8","12","66.7","17","17","100.0","21","22","95.5"
"Basabe, Osleivis",678545,"0","0","1","0.0","0","0",,"1","1","100.0","0","0",,"0","0",
"Clemens, Kody",665019,"0","0","0",,"0","1","0.0","1","1","100.0","0","0",,"0","0",
"Beaty, Matt",607461,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Lewis, Kyle",641786,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Madris, Bligh",676632,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Abreu, Wilyer",677800,"0","0","3","0.0","0","0",,"1","3","33.3","3","3","100.0","3","3","100.0"
"Wade, Tyler",642180,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Eden, Cam",686490,"0","0","0",,"0","0",,"0","0",,"1","1","100.0","0","0",
"Estrada, Thairo",642731,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Mathias, Mark",664029,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Schneider, Davis",676914,"0","0","2","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Lopez, Nicky",670032,"0","0","0",,"0","0",,"0","0",,"2","2","100.0","0","0",
"Ozuna, Marcell",542303,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"Paris, Kyren",677347,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Naquin, Tyler",571980,"0","0","2","0.0","0","0",,"1","2","50.0","1","1","100.0","0","0",
"Kjerstad, Heston",677008,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Miller, Owen",680911,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Berti, Jon",542932,"0","0","2","0.0","0","2","0.0","0","0",,"1","1","100.0","6","6","100.0"
"Donovan, Brendan",680977,"0","0","5","0.0","1","3","33.3","3","3","100.0","1","1","100.0","2","2","100.0"
"Colás, Oscar",693049,"0","0","7","0.0","1","9","11.1","4","7","57.1","6","6","100.0","19","19","100.0"
"Baddoo, Akil",668731,"0","2","15","13.3","0","2","0.0","3","3","100.0","10","13","76.9","16","17","94.1"
"Julks, Corey",667452,"0","0","9","0.0","2","5","40.0","2","3","66.7","5","7","71.4","7","7","100.0"
"Taylor, Samad",669392,"0","0","1","0.0","0","0",,"2","2","100.0","0","0",,"1","2","50.0"
"Springer, George",543807,"0","0","22","0.0","3","6","50.0","13","18","72.2","17","18","94.4","18","20","90.0"
"Fitzgerald, Tyler",666149,"0","0","0",,"0","1","0.0","1","1","100.0","0","0",,"3","3","100.0"
"Haseley, Adam",656514,"0","0","1","0.0","0","0",,"3","4","75.0","0","0",,"0","0",
"Garrett, Stone",656448,"0","0","5","0.0","1","3","33.3","4","5","80.0","4","6","66.7","12","13","92.3"
"Wisely, Brett",689172,"0","0","2","0.0","1","2","50.0","0","0",,"0","0",,"3","3","100.0"
"Smith, Josh",669701,"0","0","0",,"0","1","0.0","0","0",,"3","3","100.0","5","6","83.3"
"Gordon, Nick",624503,"0","0","3","0.0","1","1","100.0","1","2","50.0","0","1","0.0","4","4","100.0"
"Kirilloff, Alex",666135,"0","0","1","0.0","0","2","0.0","1","2","50.0","2","2","100.0","3","3","100.0"
"Duran, Jarren",680776,"0","0","8","0.0","0","4","0.0","8","11","72.7","12","13","92.3","11","13","84.6"
"Hopkins, TJ",686759,"0","0","3","0.0","0","0",,"2","2","100.0","0","0",,"2","3","66.7"
"Ramos, Heliot",671218,"0","0","2","0.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"McKinstry, Zach",656716,"0","0","4","0.0","2","6","33.3","3","6","50.0","11","12","91.7","4","4","100.0"
"Walsh, Jared",665120,"0","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","2","50.0"
"Brantley, Michael",488726,"0","0","1","0.0","0","0",,"1","1","100.0","3","3","100.0","3","3","100.0"
"Meckler, Wade",685133,"0","0","2","0.0","0","2","0.0","0","3","0.0","11","11","100.0","4","4","100.0"
"Stowers, Kyle",669065,"0","0","0",,"0","0",,"0","0",,"0","0",,"2","2","100.0"
"Allen, Greg",656185,"0","0","2","0.0","1","1","100.0","0","0",,"1","2","50.0","2","2","100.0"
"Blankenhorn, Travis",663905,"0","0","1","0.0","0","1","0.0","0","1","0.0","1","1","100.0","2","2","100.0"
"Freeman, Tyler",671289,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Domínguez, Jasson",691176,"0","0","0",,"0","2","0.0","0","0",,"2","2","100.0","3","3","100.0"
"Cabbage, Trey",663550,"0","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0","1","1","100.0"
"Rutherford, Blake",666164,"0","0","1","0.0","0","0",,"0","0",,"2","2","100.0","0","0",
"Meadows, Austin",640457,"0","0","0",,"0","0",,"0","0",,"1","1","100.0","1","1","100.0"
"Rengifo, Luis",650859,"0","0","1","0.0","1","3","33.3","1","2","50.0","1","1","100.0","5","5","100.0"
"Stevenson, Cal",670276,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Frazier, Adam",624428,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Phillips, Brett",621433,"0","0","2","0.0","0","0",,"2","3","66.7","1","2","50.0","7","7","100.0"
"Pereira, Everson",677592,"0","0","5","0.0","0","0",,"4","5","80.0","4","4","100.0","5","6","83.3"
"Hernández, Enrique",571771,"0","0","3","0.0","0","0",,"3","4","75.0","4","5","80.0","8","8","100.0"
"Lukes, Nathan",664770,"0","0","0",,"0","0",,"1","1","100.0","0","0",,"0","0",
"O'Neill, Tyler",641933,"0","0","10","0.0","0","5","0.0","11","15","73.3","5","5","100.0","9","9","100.0"
"Vargas, Ildemaro",545121,"0","0","0",,"0","1","0.0","0","0",,"1","1","100.0","1","1","100.0"
"Winker, Jesse",608385,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Garlick, Kyle",664247,"0","0","0",,"0","0",,"1","2","50.0","0","0",,"0","0",
