weekday,month,day,words
Wednesday,January,1,374
Thursday,January,2,320
Friday,January,3,273
Saturday,January,4,253
Sunday,January,5,352
Monday,January,6,303
Tuesday,January,7,322
Wednesday,January,8,386
Thursday,January,9,329
Friday,January,10,371
Saturday,January,11,293
Sunday,January,12,239
Monday,January,13,334
Tuesday,January,14,278
Wednesday,January,15,276
Thursday,January,16,418
Friday,January,17,213
Saturday,January,18,287
Sunday,January,19,258
Monday,January,20,234
Tuesday,January,21,234
Wednesday,January,22,312
Thursday,January,23,325
Friday,January,24,238
Saturday,January,25,284
Sunday,January,26,210
Monday,January,27,253
Tuesday,January,28,234
Wednesday,January,29,349
Thursday,January,30,275